i,energy group,exterior average coarseness,factor,interior average coarseness,interior average roughness,interior coarseness,interior roughness,mode,num interior surfs,ratio,size,total average coarseness
0,0,0.08,,0.15085412058991582,0.06479869864068694,"set([0.15262291807921033, 0.14692599584832486, 0.28343121973731805])","set([0.0851839539808664, 0.01992874352658242, 0.8954877054384506])",default,3,9,2.2088623046875,0.10080012645407059
1,2,0.08,,0.14555184622702236,0.047472036842813786,"set([0.15003337079688622, 0.13765052186202492, 0.13628324635821623])","set([0.016088590733991794, 0.024071923154656286, 0.06359939137019398])",default,3,9,1.7881736755371094,0.09287605963808365
2,1,0.08,,0.14946890798523954,0.056284330988312786,"set([0.14321669874754, 0.15187497295754762])","set([0.0701516379711611, 0.020249849036226463])",default,2,9,1.6935997009277344,0.09142612734947739
3,0,0.08,,0.14884470289345825,0.0663885915788432,"set([3.20301997723711, 1.2385074837429026, 0.15148914302854335, 0.7963220094804988, 0.3485776740557407, 0.143001055452933])","set([0.02339606872217782, 1.0685689246304713, 1.4142895486887996, 0.08716299484279107, 1.1661696099240229, 1.027117758529878])",default,6,8,2.243144989013672,0.10089426875169717
4,2,0.08,,0.1493030585112974,0.05000303544857523,"set([0.16659720625682856, 0.14312031979971057, 0.15189284041510287, 0.14722857358055974])","set([0.019723311173575873, 0.01661233878583521, 0.06676156712458045, 0.14731195263910754])",default,4,8,1.8549308776855469,0.09463305109080536
5,1,0.08,,0.14956866683355824,0.06009301952174816,"set([0.15244990899736488, 0.14269528013973876])","set([0.021006706368978695, 0.07647753831868577])",default,2,8,1.7225151062011719,0.09204632703793532
6,0,0.08,,0.14084896226527643,0.01788521475946492,set([0.14084896226527643]),set([0.01788521475946492]),default,1,10,1.502532958984375,0.08651015933498575
7,2,0.08,,0.14093413494333687,0.01592065705405345,set([0.14093413494333687]),set([0.01592065705405345]),default,1,10,1.3703079223632812,0.08347472523932953
8,1,0.08,,0.13857654390710067,0.019557860008585302,set([0.13857654390710067]),set([0.019557860008585302]),default,1,10,1.342529296875,0.08272557996816714
9,0,0.08,,0.14993657339276933,0.06191014891138086,"set([1.6986102766281825, 0.14145192131526219, 0.15287972081430198, 0.16231965593109002, 0.14774079703206605])","set([0.011537083615672324, 0.026926948954320615, 0.8879446230539644, 0.0906976269470334, 0.9227322959520837])",default,5,7,2.452484130859375,0.1040857425521484
10,2,0.08,,0.14764826711725024,0.0529587941339069,"set([0.9266906856881215, 0.13916776428083336, 0.14817317391809653, 0.15137085942566939, 0.15506084541227155, 0.15096095540273058])","set([0.07506528503932945, 0.01676285318382986, 0.05085091219746788, 1.4450458393297918, 1.1049140823383607, 0.018997241971220564])",default,6,7,1.9075469970703125,0.09535655449092897
11,1,0.08,,0.1482252286935845,0.06542077707712306,"set([0.1786496615988492, 0.804744036733537, 0.15168737770498847, 0.14009826430523023])","set([1.4710039887656645, 0.8720509945538997, 0.08319499139687299, 0.023509501750274234])",default,4,7,1.7534980773925781,0.09251111479932549
12,0,0.08,,0.14963646375092152,0.06345600341600019,"set([0.15254934132913775, 0.1437394573896318, 0.7972108210323008, 0.1472528807166034])","set([0.012459310995682675, 0.03450696173339023, 0.09385900408880136, 0.7532155840325285])",default,4,6,2.5548133850097656,0.10533493246702472
13,2,0.08,,0.14631099645000709,0.05364781055599993,"set([0.1427286324916464, 0.1525723695022093, 0.13559301870583448, 0.11969422183454345])","set([0.025963518254191145, 0.08024642650959188, 0.023433353735556255, 0.015233697130634532])",default,4,6,1.9748153686523438,0.09634218277970302
14,1,0.08,,0.14941673288913856,0.05904368736468493,"set([3.5576901335162723, 0.14286446163005026, 0.14049094669251133, 0.15502501926738774])","set([0.027808692016900928, 0.018833793171084426, 0.0823326420876082, 1.2202314275862887])",default,4,6,1.8658981323242188,0.09486487317335911
15,0,0.08,,0.15059829448777926,0.06466548692981379,"set([0.2054914500840438, 0.15287302550577753, 0.1522673199448487, 55.78132021331933, 0.14995708258355517, 0.27447573013301607, 0.145563128640645])","set([0.0982666799160523, 0.01625015592149009, 2.4162900595970753, 0.013367852945719546, 0.04778648862406871, 1.709892323337009, 0.6160112954530956])",default,7,5,2.805561065673828,0.10852114351935781
16,2,0.08,,0.14700399577816503,0.05461729205434394,"set([0.10560862260165771, 0.14585500304061763, 0.1529457823219085, 0.14242109430950992, 0.14081510590928148])","set([0.029631202711636655, 0.03957479082824769, 0.023576504960921663, 0.014930742313753603, 0.08458555806477447])",default,5,5,2.0927772521972656,0.09839282186577872
17,1,0.08,,0.14994668172816275,0.06495451441075403,"set([0.2555028526829046, 0.14517142933242308, 0.1443401518234593, 0.15395263914110183, 0.30726690986843064])","set([1.7424822156777677, 0.09200301914465285, 0.01935997984023868, 0.03579794153866946, 0.5188846289814132])",default,5,5,1.94610595703125,0.09641906793477577
