i,N_splits < C_u,N_splits = C_u,N_splits > C_u,Splits < C_u,Splits = C_u,Splits > C_u,WW check efficiency,cpu time,error total,fom,mode,perturbation,slope,tally total,total no change,total splits,total stochastic termination,total ww checks,vov
0,61567.0,866.0,43.0,0.985450412958576,0.013861322747935207,0.0006882642934886997,0.16720689762364319,24.73,0.0086,552.0,wwig,0.2,2.5,1.4406e-05,643193.0,62476.0,174196.0,1415444.0,0.0342
1,61652.0,910.0,50.0,0.9846674758832172,0.014533955152366959,0.0007985689644157669,0.16479034631446807,25.52,0.0073,743.0,wwig,0.8,3.3,1.4261e-05,673633.0,62612.0,175251.0,1443428.0,0.0039
2,61664.0,920.0,46.0,0.98457608174996,0.014689445952418969,0.0007344722976209484,0.1621122161451004,24.34,0.0085,575.0,wwig,1.2,3.2,1.4124e-05,705232.0,62630.0,176415.0,1474565.0,0.1065
3,61426.0,861.0,44.0,0.9854807399207457,0.013813351301920393,0.0007059087773339109,0.16537186270481619,25.01,0.0077,695.0,wwig,0.7,3.6,1.4205e-05,659837.0,62331.0,173929.0,1428659.0,0.0221
4,62101.0,908.0,49.0,0.9848234958292366,0.014399441783754638,0.0007770623870087856,0.16040818674182283,27.34,0.0079,597.0,wwig,1.3,3.1,1.4287e-05,720416.0,63058.0,176784.0,1495198.0,0.0138
5,61557.0,856.0,43.0,0.9856058665300371,0.013705648776738823,0.0006884846932240297,0.16630447464116985,24.73,0.0073,778.0,wwig,0.4,3.2,1.4185e-05,649457.0,62456.0,174165.0,1422818.0,0.0041
6,61117.0,857.0,46.0,0.9854401805869074,0.01381812318606901,0.0007416962270235408,0.16655288023671355,26.04,0.008,609.0,wwig,0.5,2.8,1.4158e-05,645397.0,62020.0,173153.0,1412002.0,0.032
7,62268.0,913.0,41.0,0.9849103160292303,0.014441175540160072,0.0006485084306095979,0.16328165052256963,26.07,0.0079,629.0,wwig,1.0,2.9,1.433e-05,696994.0,63222.0,177559.0,1474636.0,0.0074
8,62135.0,887.0,60.0,0.9849877936653879,0.014061063377825688,0.000951142956786405,0.1605972082650312,26.04,0.0086,531.0,wwig,1.4,3.3,1.4229e-05,727717.0,63082.0,177434.0,1497635.0,0.09
9,61772.0,889.0,46.0,0.9850893839603234,0.014177045624890363,0.0007335704147862281,0.16557593036566665,25.11,0.0096,441.0,wwig,0.6,2.5,1.4299e-05,662585.0,62707.0,174939.0,1435269.0,0.1239
10,61932.0,927.0,53.0,0.9844226856561547,0.014734867751780265,0.0008424465920651069,0.16366718314308493,28.16,0.0082,536.0,wwig,0.9,2.3,1.4261e-05,686751.0,62912.0,176447.0,1462474.0,0.0158
11,61163.0,848.0,39.0,0.9857050765511685,0.013666398066075745,0.0006285253827558421,0.16763523244508707,25.56,0.0075,712.0,wwig,0.1,3.1,1.422e-05,633615.0,62050.0,172958.0,1401901.0,0.0064
12,62248.0,935.0,55.0,0.9843448559410481,0.014785413833454568,0.0008697302254973276,0.16261766024204394,25.48,0.0109,336.0,wwig,1.1,2.8,1.4356e-05,706672.0,63238.0,178024.0,1483615.0,0.2272
13,61129.0,861.0,43.0,0.985427111376203,0.013879709187045605,0.0006931794367514065,0.16693620614834118,24.74,0.0075,733.0,wwig,0.3,2.8,1.4187e-05,637891.0,62033.0,173006.0,1407957.0,0.0093
14,62193.0,931.0,54.0,0.9844091297603597,0.014736142328025578,0.0008547279116148026,0.1591662528264407,26.46,0.0082,575.0,wwig,1.5,2.9,1.4325e-05,740815.0,63178.0,177843.0,1514272.0,0.0191
